,Ingredient,Normalized,Name of Dish
0,old fashioned oats,oat,Tropical Granola
1,hemp seeds,seed,Tropical Granola
2,flax seeds,seed,Tropical Granola
3,dried cranberries,cranberries,Tropical Granola
4,dried pineapples,pineapple,Tropical Granola
5,coconut,coconut,Tropical Granola
6,vanilla extract,vanilla,Tropical Granola
7,salt,salt,Tropical Granola
8,coconut oil,coconut oil,Tropical Granola
9,maple syrup,maple syrup,Tropical Granola
10,honey,honey,Tropical Granola
11,package of sugar cookie dough,sugar,Mini Fruit Pizza
12,"Fruit for topping: canned mandarin oranges,",mandarin,Mini Fruit Pizza
13,"cream cheese,",cream cheese,Mini Fruit Pizza
14,corn starch,starch,Mini Fruit Pizza
15,"whipped topping,",,Mini Fruit Pizza
16,water,,Mini Fruit Pizza
17,powdered sugar,sugar,Mini Fruit Pizza
18,can crushed pineapple,pineapple,Mini Fruit Pizza
19,sugar,sugar,Mini Fruit Pizza
20,lemon juice,lemon juice,Mini Fruit Pizza
21,orange juice,orange juice,Mini Fruit Pizza
22,water,,Mini Fruit Pizza
23,corn starch,starch,Mini Fruit Pizza
24,thinly sliced beef,beef,Korean Beef Bowl
25,onion,onion,Korean Beef Bowl
26,soy sauce,soy sauce,Korean Beef Bowl
27,brown sugar,sugar,Korean Beef Bowl
28,garlic,garlic,Korean Beef Bowl
29,fresh ginger,ginger,Korean Beef Bowl
30,sesame oil,sesame oil,Korean Beef Bowl
31,black pepper,black pepper,Korean Beef Bowl
32,shredded carrots,carrot,Korean Beef Bowl
33,green beans,bean,Korean Beef Bowl
34,rice vinegar,vinegar,Korean Beef Bowl
35,sesame oil,sesame oil,Korean Beef Bowl
36,brown sugar,sugar,Korean Beef Bowl
37,Jasmine rice,jasmine,Korean Beef Bowl
38,water,,Korean Beef Bowl
39,salt,salt,Korean Beef Bowl
40,Gochujang sauce,,Korean Beef Bowl
41,scallions,scallion,Korean Beef Bowl
42,unsalted butter,butter,Peach Cobbler
43,sugar,sugar,Peach Cobbler
44,self rising flour,,Peach Cobbler
45,milk,milk,Peach Cobbler
46,almond extract,almond,Peach Cobbler
47,juice of 1/2 lemon,lemon,Peach Cobbler
48,cans peaches,peach,Peach Cobbler
49,salt,salt,Peach Cobbler
50,cinnamon,cinnamon,Peach Cobbler
51,butter,butter,Churro Cake
52,sugar,sugar,Churro Cake
53,light brown sugar,sugar,Churro Cake
54,eggs,egg,Churro Cake
55,egg yolks,egg,Churro Cake
56,grapeseed oil,rapeseed,Churro Cake
57,vanilla extract,vanilla,Churro Cake
58,all purpose flour,all purpose flour,Churro Cake
59,corn starch,starch,Churro Cake
60,baking powder,baking powder,Churro Cake
61,kosher salt,salt,Churro Cake
62,cinnamon,cinnamon,Churro Cake
63,buttermillk,butter,Churro Cake
64,pecans,pecan,Churro Cake
65,maple syrup,maple syrup,Churro Cake
66,kosher salt,salt,Churro Cake
67,cayenne pepper,cayenne,Churro Cake
68,white chocolate chips,chocolate chips,Churro Cake
69,light corn syrup,corn,Churro Cake
70,miso paste,,Churro Cake
71,kosher salt,salt,Churro Cake
72,plus 1 teaspoon light brown sugar,sugar,Churro Cake
73,heavy cream,heavy cream,Churro Cake
74,unsalted butter,butter,Churro Cake
75,all vegetable shortening,vegetable,Churro Cake
76,powdered sugar,sugar,Churro Cake
77,vanilla extract,vanilla,Churro Cake
78,cinnamon,cinnamon,Churro Cake
79,kosher salt,salt,Churro Cake
80,dark chocolate chips,chocolate chips,Churro Cake
81,white chocolate chips,chocolate chips,Churro Cake
82,heavy whipping cream,cream,Churro Cake
83,unsalted butter,butter,Triple Chocolate Cookies
84,sugar,sugar,Triple Chocolate Cookies
85,light brown sugar,sugar,Triple Chocolate Cookies
86,all purpose flour,all purpose flour,Triple Chocolate Cookies
87,corn starch,starch,Triple Chocolate Cookies
88,baking soda,baking soda,Triple Chocolate Cookies
89,salt,salt,Triple Chocolate Cookies
90,cocoa powder,cocoa,Triple Chocolate Cookies
91,vanilla extract,vanilla,Triple Chocolate Cookies
92,large eggs,egg,Triple Chocolate Cookies
93,Baker's semi-sweet chocolate,chocolate,Triple Chocolate Cookies
94,Hershey dark chocolate chips,chocolate chips,Triple Chocolate Cookies
95,Fairlife whole milk,milk,Easy Homemade Ice Cream
96,honey,honey,Easy Homemade Ice Cream
97,fresh blueberries,blueberries,Easy Homemade Ice Cream
98,large strawberries,strawberries,Easy Homemade Ice Cream
99,vanilla extract,vanilla,Easy Homemade Ice Cream
100,can diced tomatoes,tomato,Restaurant Style Blender Salsa
101,can fire roasted tomatoes,tomato,Restaurant Style Blender Salsa
102,garlic,garlic,Restaurant Style Blender Salsa
103,jalapeno,jalapeno,Restaurant Style Blender Salsa
104,honey,honey,Restaurant Style Blender Salsa
105,cumin,cumin,Restaurant Style Blender Salsa
106,large handful cilantro,cilantro,Restaurant Style Blender Salsa
107,juice of 1.5 limes,lime,Restaurant Style Blender Salsa
108,chicken breasts,chicken,Cheesy Chicken Lasagna
109,kosher salt,salt,Cheesy Chicken Lasagna
110,Pepper,pepper,Cheesy Chicken Lasagna
111,Italian seasoning,,Cheesy Chicken Lasagna
112,celery seed,celery,Cheesy Chicken Lasagna
113,reduced sodium chicken broth,chicken broth,Cheesy Chicken Lasagna
114,garlic,garlic,Cheesy Chicken Lasagna
115,butter,butter,Cheesy Chicken Lasagna
116,cans cream of celery soup,celery,Cheesy Chicken Lasagna
117,oregano,oregano,Cheesy Chicken Lasagna
118,Pepper,pepper,Cheesy Chicken Lasagna
119,chicken broth,chicken broth,Cheesy Chicken Lasagna
120,dehydrated onion,onion,Cheesy Chicken Lasagna
121,onion powder,onion,Cheesy Chicken Lasagna
122,~12 lasagna noodles,,Cheesy Chicken Lasagna
123,shredded mozzarella cheese,mozzarella cheese,Cheesy Chicken Lasagna
124,shredded cheddar cheese,cheddar cheese,Cheesy Chicken Lasagna
125,grated parmesan cheese,parmesan cheese,Cheesy Chicken Lasagna
126,of zucchini,zucchini,Zucchini Crust Pepperoni Pizza
127,all purpose flour,all purpose flour,Zucchini Crust Pepperoni Pizza
128,egg,egg,Zucchini Crust Pepperoni Pizza
129,Italian seasoning,,Zucchini Crust Pepperoni Pizza
130,kosher salt,salt,Zucchini Crust Pepperoni Pizza
131,pepper,pepper,Zucchini Crust Pepperoni Pizza
132,olive oil,olive oil,Zucchini Crust Pepperoni Pizza
133,jarred pizza sauce,,Zucchini Crust Pepperoni Pizza
134,pepperoni,pepper,Zucchini Crust Pepperoni Pizza
135,mixed mozzarella and cheddar cheeses,cheddar cheese,Zucchini Crust Pepperoni Pizza
136,shredded parmesan cheese,parmesan cheese,Zucchini Crust Pepperoni Pizza
137,dried parsley,parsley,Zucchini Crust Pepperoni Pizza
138,unsalted butter,butter,Baked Blueberry Cake Donuts
139,sugar,sugar,Baked Blueberry Cake Donuts
140,brown sugar,sugar,Baked Blueberry Cake Donuts
141,large eggs,egg,Baked Blueberry Cake Donuts
142,all purpose flour,all purpose flour,Baked Blueberry Cake Donuts
143,cornstarch,starch,Baked Blueberry Cake Donuts
144,almond flour,almond,Baked Blueberry Cake Donuts
145,baking powder,baking powder,Baked Blueberry Cake Donuts
146,salt,salt,Baked Blueberry Cake Donuts
147,cinnamon,cinnamon,Baked Blueberry Cake Donuts
148,milk,milk,Baked Blueberry Cake Donuts
149,frozen blueberries,blueberries,Baked Blueberry Cake Donuts
150,frozen or fresh blueberries,blueberries,Baked Blueberry Cake Donuts
151,sugar,sugar,Baked Blueberry Cake Donuts
152,powdered sugar,sugar,Baked Blueberry Cake Donuts
153,couscous,,Fresh Herb and Vegetable Couscous Salad
154,water,,Fresh Herb and Vegetable Couscous Salad
155,butter,butter,Fresh Herb and Vegetable Couscous Salad
156,salt,salt,Fresh Herb and Vegetable Couscous Salad
157,fresh basil,basil,Fresh Herb and Vegetable Couscous Salad
158,fresh oregano,oregano,Fresh Herb and Vegetable Couscous Salad
159,cucumber,cucumber,Fresh Herb and Vegetable Couscous Salad
160,baby tomatoes,tomato,Fresh Herb and Vegetable Couscous Salad
161,balsamic vinegar,vinegar,Fresh Herb and Vegetable Couscous Salad
162,olive oil,olive oil,Fresh Herb and Vegetable Couscous Salad
163,salt,salt,Fresh Herb and Vegetable Couscous Salad
164,pepper,pepper,Fresh Herb and Vegetable Couscous Salad
165,feta cheese crumbles,feta cheese,Fresh Herb and Vegetable Couscous Salad
166,ground beef,beef,Skillet Shepherd’s Pie
167,salt,salt,Skillet Shepherd’s Pie
168,black pepper,black pepper,Skillet Shepherd’s Pie
169,olive oil,olive oil,Skillet Shepherd’s Pie
170,large onion,onion,Skillet Shepherd’s Pie
171,stalks celery,celery,Skillet Shepherd’s Pie
172,garlic,garlic,Skillet Shepherd’s Pie
173,bag frozen mixed vegetables,vegetable,Skillet Shepherd’s Pie
174,tomato paste,tomato,Skillet Shepherd’s Pie
175,fresh rosemary,rosemary,Skillet Shepherd’s Pie
176,fresh thyme,thyme,Skillet Shepherd’s Pie
177,fresh oregano,oregano,Skillet Shepherd’s Pie
178,dried parsley,parsley,Skillet Shepherd’s Pie
179,worcestershire sauce,,Skillet Shepherd’s Pie
180,beef broth,beef broth,Skillet Shepherd’s Pie
181,all purpose flour,all purpose flour,Skillet Shepherd’s Pie
182,large russet potatoes,potato,Skillet Shepherd’s Pie
183,chicken broth,chicken broth,Skillet Shepherd’s Pie
184,sour cream,sour cream,Skillet Shepherd’s Pie
185,salt,salt,Skillet Shepherd’s Pie
186,pepper,pepper,Skillet Shepherd’s Pie
187,paprika,paprika,Skillet Shepherd’s Pie
188,grated cheddar cheese,cheddar cheese,Skillet Shepherd’s Pie
189,shaved parmesan cheese,parmesan cheese,Skillet Shepherd’s Pie
190,plus 6 tbsp all purpose flour,all purpose flour,Muddy Buddy Cupcakes
191,cornstarch,starch,Muddy Buddy Cupcakes
192,baking soda,baking soda,Muddy Buddy Cupcakes
193,salt,salt,Muddy Buddy Cupcakes
194,cocoa powder,cocoa,Muddy Buddy Cupcakes
195,sugar,sugar,Muddy Buddy Cupcakes
196,large egg,egg,Muddy Buddy Cupcakes
197,vegetable oil,vegetable oil,Muddy Buddy Cupcakes
198,vanilla,vanilla,Muddy Buddy Cupcakes
199,boiling water,,Muddy Buddy Cupcakes
200,buttermilk,buttermilk,Muddy Buddy Cupcakes
201,corn Chex,corn,Muddy Buddy Cupcakes
202,peanut butter,peanut butter,Muddy Buddy Cupcakes
203,milk chocolate chips,chocolate chips,Muddy Buddy Cupcakes
204,unsalted butter,butter,Muddy Buddy Cupcakes
205,powdered sugar,sugar,Muddy Buddy Cupcakes
206,unsalted butter,butter,Muddy Buddy Cupcakes
207,vegetable shortening,vegetable,Muddy Buddy Cupcakes
208,peanut butter,peanut butter,Muddy Buddy Cupcakes
209,powdered sugar,sugar,Muddy Buddy Cupcakes
210,salt,salt,Muddy Buddy Cupcakes
211,milk,milk,Muddy Buddy Cupcakes
212,milk chocolate chips,chocolate chips,Muddy Buddy Cupcakes
213,coconut or vegetable oil,vegetable oil,Muddy Buddy Cupcakes
214,powdered sugar,sugar,Muddy Buddy Cupcakes
215,"Fairlife milk (whole), divided",milk,Instant Pot Yogurt
216,sweetened condensed milk,milk,Instant Pot Yogurt
217,plain greek yogurt containing active live cultures,yogurt,Instant Pot Yogurt
218,ground turkey,turkey,Ground Turkey Pot Stickers
219,vegetable oil,vegetable oil,Ground Turkey Pot Stickers
220,fresh ginger,ginger,Ground Turkey Pot Stickers
221,fresh garlic,garlic,Ground Turkey Pot Stickers
222,onion,onion,Ground Turkey Pot Stickers
223,shredded carrots,carrot,Ground Turkey Pot Stickers
224,roasted red peppers,pepper,Ground Turkey Pot Stickers
225,Chinese 5 Spice,,Ground Turkey Pot Stickers
226,red pepper flakes,pepper,Ground Turkey Pot Stickers
227,salt,salt,Ground Turkey Pot Stickers
228,reduced sodium soy sauce,soy sauce,Ground Turkey Pot Stickers
229,~8 sheets of egg roll wrappers,egg,Ground Turkey Pot Stickers
230,Teriyaki Sauce or soy sauce for serving,soy sauce,Ground Turkey Pot Stickers
231,quinoa,,Quinoa Turkey Enchilada Stuffed Peppers
232,garlic,garlic,Quinoa Turkey Enchilada Stuffed Peppers
